prod_name,rating,user_review
Prior 8,4.14,"I bought a mixed pack at the LCBO in Ontario 6 bottles 330ml .
Every Christmas time I see these Belgium beers come in .
Prior 8 330ml bottle at 8%.
Dark color almost looks like a coca Cola poured a 2finger head leaving a lace as you drink it.
Looks like an expiration date on my bottle 04/06/25 wow good for 4years .
Smooth and creamy just sipping on it at 8% strong .
Very pleasant beer to drink . Sweet dark fruits dark chocolate or roasted Caramel but well balanced and smooth.
alcohol is hidden at times when drinking it .
I find that amazing in these Belgium beers .
Overall pleasant and very enjoyable to drink.
I love most of these Belgium beers look forward to them every Christmas time
Cheers ."
Prior 8,4.58,"Appearance: Saddle brown, thick frothy tan head with great retention.

Aroma: Dark malt aromas, dark fruit, grainy. Alcohol not noticeable.

Flavor & Aftertaste: Slightly warming from alcohol presence. Restrained bitterness.

Mouth-feel: Medium bodied. Effervescent & vibrant.

Overall: Another well crafted, Belgian Double. Mild fruity esters and malt aromas and flavors."
Prior 8,3.5,De color marrón con una buena espuma de retención media. Cuerpo medio y baja carbonatación. Aroma a malta tostada y frutos secos. En boca tiene un equilibrio entre amargor y dulzor.
Golden Monkey,3.88,"From the bottom of the can: ""BEST BY JUL 13 24 PBG 22194 14:38 FL""

Appearance: The body is a pretty medium shade of gold. It has pretty good clarity with only a slight bit of haze. The head is massive, creamy textured, and slightly off-white with a bit of an eggshell appearance. It has very good head retention and very nice sheets of creamy lacing on the glass.

Aroma: There is a bit of a banana aroma to the beer with a touch of an old paper scent. After the glass is agitated a bit there is a hint of a white pepper character that comes through.

Taste: Up front there is banana and a light bit of coriander. Towards the middle of the mouth there is a very light touch of clove mixed with more of that banana flavor. It has a very mellow sweetness that is balanced well with the beer. The flavor doesn't transform to the back of the mouth or in the aftertaste and stays mostly banana with a light hint of clove at times.

Mouthfeel: It is very smooth and easy to drink. Carbonation feels a little on the light side but the body of the beer still feels great. It has very high drinkability and it hides the alcohol well.

Overall: It is a really well made beer. The can states that this has a ""Belgian yeast character of banana and clove"" and they really hit the nail on the head with that description. The beer has a pleasant banana flavor with just a light touch of perceived sweetness that feels balanced. It is enjoyable to drink. I would recommend it and I would buy it again."
Golden Monkey,4.1,"Surprisingly good American take on a Tripel. Purchased a six pack of 12oz bottles and sampling in a tulip glass.

Allowed bottle to warm to 50F before pouring. Little to no head and very little lacing. On the nose, I am getting faint bananas and cloves with a background note of caramel. Taste is actually very yeast and malt forward, with a higher-than-usual sweetness and a clean lighter hop finish (Tettnang, maybe?). Subdued, but present, alcohol taste, which is not out of place for the style. Some black pepper notes on the tongue, which is present in my favorite Belgians.

It is the mouthfeel that throws it off, for me. For the style, it feels much thinner than I expected. If it was not so thin, I think that it would drink a little slower. Somehow, this is an almost crushable tripel, which is just as dangerous as it sounds. Allowing this to sit in the glass and warm up a bit, it becomes more balanced, and I get some slightly floral notes and a slightly improved mouthfeel.

Honestly, for the price, it exceeded expectations. I would have no problem buying it again, although I would not say it is the best in the style. However, it might be my favorite of American tripels, so far."
Golden Monkey,3.57,"Poured from 12 oz bottle into tulip glass. A 1"" off white head drops slowly, no lacing. Color is golden amber. Aroma of banana, clove and other spices. Mouthfeel is medium with dry finish. Flavor bursts with clove, allspice, earthy hops, yeast rolls. Overall: lots of flavor but not necessarily a situation of more=better. It's very good but not excellent. I probably would not buy this particular tripel again for that reason."
Golden Monkey,4.05,"October 9th, 2016 - A classic, but well worth reviewing again. Those Belgian esters hit softly but with definition, coaxing the olfactory with pear, banana (peel) and clove, with a richness that is intoxicating. The flavor is even better, translating those esters into a chorus of fruit flavors, and some nice spicy garnishes. I find pear, cinnamon and custard, with a little pepper for an unexpected kick. There's a reason this has been around for so long. Here's to hoping it's around in another decade."
Golden Monkey,4.4,"Tried this beer on a recommendation from a friend who originally sent me some Victory Beer in a beer box. To me, it tastes great and the ABV is in the mid-upper range that I like to start with.
Definitely One of my favorites."
Golden Monkey,3.74,"Fairly light head. Smell is sweet; banana and bubblegum, esters, coriander, cloves. Taste follows; sweet slightly caramel malt, banana, a hint of orange peel and citrus hops, becoming bubblegum and fruit esters, finishing with plenty of cloves and coriander. The alcohol is quite present; finish is dry. Not bad, but a bit too sweet and too reliant on the presence of spices for me."
Golden Monkey,3.65,"clear yellow with a short & short lived head with a faint aroma of banana, clove, and candied orange peel

Monkey tastes of banana, clove, candied orange peel, pear juice, with a peppery hit at the end.

almost no carbonation in the glass, but has a fizzy mouthful with a dry peppery, slightly bitter finish

not a bad tripel for the price"
Golden Monkey,4.52,"Originally when I had my first Golden Monkey it was in a Victory mix pack. That mix pack had hop devil, prima pils, another victory beer I can't remember and golden monkey. I remember dreading having to drink Golden Monkey and would often split it with someone rather than waste it. The bottom line, I was out of touch with the world of Belgian style beers. Long story short, over time, Golden Monkey ascended to one of my favorite styles. This is a clean, spicy, and dry finish beer that leaves you with a warm happiness."
Golden Monkey,3.9,Solid brew from victory
Golden Monkey,3.85,"Best by 5/17/23

Oh man, how the hell have I never reviewed this one? This was a big one that pulled me into craft before my legal drinking days. I would also wager that it was my first Belgian-esque beer, but I can’t say for sure. Enough talk, rime for a proper review of this classic

Pours a cloudy gold with a finger of white head that fades to a ring and leaves decent lacing

There’s not a whole lot going on in the nose, just a nice balance of spice and fruit. I’m picking up on aromas of clove, overripe banana, white pepper, orange rind, and bready malt

There’s a bit more going on in taste, and it’s a bit sweeter than the aroma especially on the finish. On the front end of the sip I’m tasting lemon zest, white pepper, grassy hops, crackery malt, banana, and light coriander. The swallow brings notes of candi sugar, toffee, clove, overripe banana, bready malt, apple skin, and orange rind

A medium body pairs with moderate tingling carbonation, resulting in a smooth beer with a bit of bite. Finishes neutral but a bit too sweet

This is a good beer, but after years it pales in comparison to other Tripels and Belgian beers in general. Still, I’ll always have a soft spot in my heart for this one"
Golden Monkey,4.17,"Canned 5/5/21 - ""best by 5/5/23""; drank 12/7/21 @ the Yarchives.

See-through (slightly cloudy) dull orange/yellow appearance.

Banana, clove & faint allspice notes in the nose.

Medium thick mouthfeel, with a mild cinnamon bite on the lips.

Caramel, apple cider & clove flavors up front; faint cinnamon notes on the finish.

Great holiday beer; sweet, mildly spiced and flavorful. I'm a fan!"
Golden Monkey,4,"Pours a translucent golden color with a foamy head that ends as a lot of lacing.

Smells and tastes of bread, yeast , banana and clove spice with a slightly dank twist. The finish is slightly bitter with some alcohol warmth.

Medium body with light carbonation. Lush mouthfeel with a clean dry finish.

This is an Americanized take on a European standard with a bit heavier body and darker danker hop taste."
Old Viscosity,4.3,"i got vaccinated today, figured i may as well have a brew, picked a nice one too, beer is black as night, tan coloured head which quickly dissipates, lovely aroma on this, deep rich malt, dark chocolate, tobacco, vanilla, dark fruits, caramel, flavours much the same, nice balance between dark malt flavours, sweet milk chocolate and vanilla, and bitter espresso, oaky, lightly nutty, high levels of bitterness on the finish, smokey malt flavours and sweet caramel flavours linger, full bodied and light carbonation, heavy, really quite boozy, lot of warming, all in all very nice stuff, just the beer i wanted really, proper nice imperial stout"
Old Viscosity,4.1,"A - Pitch black pour with light caramel head floating on top and dense lacing.

S - Deep chocolate roast, char, and light smoke.

T - Chocolate roast and chocolate char from start to finish. Ends with a nice lingering chocolate roast bitterness.

M - Thick and velvety with a tad bit of thin around the edges, dry on the back of the tongue with a slight chalky residue coating the mouth.

O - An easy drinking Imperial Stout where the alcohol pokes through somewhat at the beginning but quickly subsides."
Old Viscosity,3.75,"Bottle. I think it’s a 2015, but the date is smudged.

Tan head. Lace. Black color.

Roasted malts, bitter dark chocolate, coffee, caramel. Not super thick, but it’s a big stout. Lots of oak. Lots of bitterness from the chocolate and hops."
Old Viscosity,4.32,"1 pt. 6 fl. oz. bottle, courtesy of Cardinal Pub & Bar, Stavanger. ABV is 10.0%. Black colour (dark ruby when held to the light), huge tan head. Lovely aroma of moderately roasted malts, mild coffee, chocolate, oak and leather. Full and rich flavour, malty predominance with much the same elements as the aroma, moderate but sufficient hops in the finish. Well balanced, immensely pleasant to drink. Warming mouthfeel, but the alcohol is otherwise well hidden in the flavour."
Old Viscosity,4.44,"this is one of the beers that started my cellar, maybe not the very first bottle, but near it, and not because i adored it and wanted to see how it aged, indeed i had never even had it before, but because i was loving port at the time and never had the occasion to break it out over the years, that or i forgot, and its been collecting dust ever since. ive been doing one random cellar dark beer every thursday during quarantine for my own entertainment, and i feel thankful to have pulled this one yesterday. i cant find a date on the bottle, but this has to be approaching ten years old, its no newer than maybe seven years, i do not totally recall its origin story, lots has happened since then, but suffice it to say it should be called ancient viscosity! i dont always love how stouts age, they often taste oxidized and thin to me, especially ones that spent time in oak, sometimes its just better to drink them close to fresh, but i was rewarded for my patience with this one, that is certain, and the quality and refinement overall here is additional testament to how amazing port is with quality and attention to detail, its immaculate. close to jet black with a surprisingly high head, mocha colored and frothy, with great retention and even some lace, unexpected in a beer this old, and some obvious bottle conditioning has taken place, this is velvet to drink. i get notes of dark chocolate, black licorice, and unlit cigar in the nose and taste here, with subtle bready yeast character, earthy spice, wet hearty oak, and rich molasses. just a bit of oxidation to the nose, but absent from the flavor, shocking for how old this is. there is a nice decadence to this with it being quite dry for the style, but i do get an almost belgian dark candy sugar taste in here, all very well grounded and balanced, nice roast, smooth as anything, and really seemingly pretty bulletproof in the cellar, like even after about a decade, its still nowhere near the end of its delicious trajectory, i almost cant believe it. i love older viscosity too, but this is darn near just as good, especially with all this age on it, a stunning specimen!"
Old Viscosity,4.25,"Bitter and creamy. Chocolate and coffee. Roasty and a touch of vanilla. These are some of the qualities that make good stouts, and these are all qualities for this one. Very good, what a stout should be, but not quite at the level of Fremont Dark Star to hold my interest over the long haul."
Old Viscosity,4.18,"Black and opaque body; thick, dense, and creamy light tan head. Huge roasted and charred grain aroma; suggestions of dark chocolate. Big cocoa and roasted grain flavor; chocolate sweetness offset with medium-strength hop bitterness. Heavy body; thick and velvety; some grain husk astringency; fine blend of chocolate sweetness and dark grain and alcohol dryness.

This beer exudes stout goodness at all levels. It is very rich and satisfying with a robust character and complex and well-balanced depth. Awesome...coats the palate with thick and satisfying goodness throughout the tasting experience."
Old Viscosity,4.04,"Can into pint glass. Pours a very dark brown with a coarse light tan head. Initial impression is thick milk chocolate, coffee, roasted malts, vanilla, and oak. Mouthfeel is thick and creamy-smooth; carbonation is just enough to showcase the flavors. Alcohol is well hidden. Finish is more coffee, dark chocolate, oak and a slight lingering bitterness. This would not be something that you would open more than one of, but the one you open will prove thoroughly enjoyable."
Old Viscosity,4.45,"A: Black with nice tan foamy head and abundant lacing that remain thru entire beer.
N: Lots of coffee, dark chocolate, malt, barley and minor vanilla.
T: Follows the nose, thick creamy coffee goodness with dark chocolate bitterness, some light malt and vanilla.
M: Thick, creamy and easy to drink.
O: Loved it, very drinkable, loads of flavor, and very well balanced."
Old Viscosity,3.47,"Of course, for old times sake I had to try the newly released 19.2 can. But back in the day this was questionable quality at $6 per bomber. Not much has changed except it's more expensive now.

Looks ok. Smells and taste big chocolate, roasted, hoppy, full flavored beer I question the categorization now of Imperial Stout as this used to be Strong Ale, wasn't it? My issue with this beer and it has always been that it becomes increasingly annoying as you go. Would be much better marketed in 12 oz 4 paks at a reasonable price.

Bottom line, one and done. Port Brewing needs to step up their game, and this used to be one of my favorite breweries."
Old Viscosity,4.27,"Beautifully carbonated blend of fresh and barrel aged black ale that nicely coats the glass.
The subtly sweet vanilla almond scent of the barrel melds with the initial taste of dried figs to balance out a drying finish of oak, cacao, and bitter hops.
Ive had it fresh and a couple years old, excellent staying power... the beer jumps off the line a bright barleywine-ish dark ale and matures into a smooth Imperial Stout with some time - Win/win.
CAUTION to those that disparage cellaring, welcome to your gateway beer."
Old Viscosity,4.53,"Call me Stupid for not having bought a few cases of Old Viscosity. Port Brewing does just about all their ales right, but Ol' Vis was incredible. Bring it back, boys/girls!!"
Abt 12,5,This beer still blows my mind. It's wholesome and delicious and everyone that I've showed it to ended up loving it as much as me. It's better than Chimay and Duvel which are also great Belgian ales. I imagine that Belgium saves it's best brews for themselves and send us the bottom of the barrel of their good beers so to say which I'm not complaining about.
Abt 12,4.75,"Dark brown with a nice foamy head.
Smells very sweet, mostly raisins / figs.
Flavors follow the nose.
Dry & sweet, very strong, and slightly bitter aftertaste."
Abt 12,4.65,"Purchased from Wegmans in Collegeville, PA on 8/23/22. Poured from bottle into a tulip glass.

L- Hazy almost plum color with a frothy
3 finger head!

S- That “Belgian “ hop nose right up front!

T- Belgian yeasty forward flavor that
gives way to an almost cognac-
like flavor. Deep and rich but also
a little sweet!

F- Prickly carbonation at first but a lush
fruity mouthfeel.

O- A world class Trappist!"
Abt 12,3.77,"Look: Dark brown. Very nice head, excellent look.

Smell: Weird to me, earthy and metal.

Taste: Sipping it’s terrible, but similar to Guinness, if you gulp it it becomes very very good

Feel: Very nice, not chewy or stick at all, very nice after taste."
Abt 12,3.52,"resembles an imitation of Sint Sixtus Westvleteren 12 but it is thinner in taste show a taste still good; effervescent phenols, full dark malts with a bitter green hop, caramel sugars in the aftertaste, tart fruit tones"
Abt 12,4.6,"Beautiful foamy pour at 53° from the 11 ounce bottle, into a Weihenstephaner Braupakt chalice, on Saint Bernardus Day, 2022.
Dated to drink by 3/10/2025.
I’m a drink it right now!
Smell is simply luxury - sweet and inviting, warm Holiday spices, sourdough bread, dark fruit.
Taste follows, with a great alcohol kick.
Feel is a mouthful. The carbonation expands all the aromas and makes you sit and chew awhile. Righteous stuff.
Overall, fresh, fulfilling, rich, nice in the head.,. one of the finest beers in the World."
Abt 12,5,"One of the best available offerings of this style.
Delicious!
The perfect digestif or special occasion brew.
Top notch stuff."
Abt 12,4.33,"Love the smell of this ale - dark fruit & bread. Taste matches smell; dark fruit & bread with a slight sour yeast flavor. A well done beer, but not a personal favorite because of the taste."
Abt 12,4.85,"12 ounce bottle poured into a pint glass
Look: Dark brown with 1.5 fingers of head with excellent retention
Smell: Complex array of sugar and fruits
Taste: Follows the nose, with a tasty arrangement of caramel/sugary tones plus fruit. The high alcohol content is barely noticed.
Feel: Full-bodied, silky smooth going down with moderate degree of carbonation.
Overall: An incredible beer perfect for a special occasion."
Abt 12,4.6,"BBE 6/8/25. 33cl bottle to wine glass.

Look: Pours a dark, murky brown with a lightly brownish/beige fluffy head that lasts quite long and leaves just a bit of lacing.

Smell: Brown sugar and caramel. Sweet, malty and slightly alcoholic. Even a bit fruity.

Taste: Malty and sweet. Some roasty notes, some bitterness. Caramelized, almost burnt brown sugar. Dried plum and red apple.

Feel: Full mouthfeel. Low to medium carbonation.

Overall: Prime example of the style. Very complex. Not too alcoholic despite its high ABV. Should be drank at the recommended temperature since it unfolds its full potential as it warms. Fantastic beer."
Abt 12,4.32,"Poured from an 11.2oz bottle into a Boulevard Smokestack Stemmed Tulip

The beer pours a deep mahogany/brown color with about three fingers worth of fluffy head that slowly recedes leaving behind lots of chunky lacing.

Aroma pleasant, but a bit less robust than I expected. Bready with notes of raisins, plums, dates and a faint yeastiness that rounds out the beer.

Taste follows the nose closely, dark/brown bread, dark fruits, a mild spiciness, and a mild banana-esque yeast flavor. Medium bodied, slick on the tongue, and moderately carbonated.

Overall, this is quite a pleasant beer that I look forward to revisiting."
Abt 12,4.57,Yah this one’s legit. Was happy to find at Rock&Brews Orlando. Smooth and trippel notes but so much more. Lovely feel. Very balanced without being too malty or too hoppy.
Abt 12,4.24,"Poured from a 75cL corked bottle into the biggest glass I have, a spieglau American wheat beer glass and It barely fit. A dark murky brown red letting almost no light through. On the pour I got a 2 finger head that started overflowing. After a little while it disappeared to nothing. Not all that carbonated looking.

Smell is very yeast forward with fruit notes and some malts coming through. Very similar to a dry wine with grainy notes very heavy smell. Some alcohol.

Flavor is quite similar to the nose but malts are much more present. Still some acidity and fruit notes mixing with the roast to make it a bit winey. Very dark and fruity beer at the same time. Some alcohol is detected but it seems to compliment the beer at warmer Temps (20 minutes out the fridge). Very nuanced beer.

Feel is a bit thinner than I would've expected. I thought it would be thicker from all the grain that went into it. But its still very nice and almost easy to put down if it wasn't so extremely flavorful.

Overall, its a very interesting beer with lots of flavors to explore. This beer is pretty extreme to the point of giving me winey vibes, but still at its core it is beer. This is my first experience with a real belgian ale other than an old bottle of duvel a long time ago so I don't know all that much about the style. However I enjoyed this beer"
Abt 12,4.18,"Some fluffy, beaten egg white foam forms over a deep copper, almost brown body. There's some sediment floating about, but not as much as anticipated considering I can't remember how long ago I purchased this bottle. Been meaning to pop the cork for awhile now. Smells super bready and yeasty, but not in the way you generally find typical of Belgians. This is its own thing, at least to my nostrils. Lots of sweet, dark fruit; figs and such. Also some fruity notes you wouldn't necessarily expect with raspberries standing out to me. Smells fookin' great. Tastes it as well. Not as good as implied by the nose, but very tasty all the same. Yeasty up front with a fruity middle and a bready finish. Nowhere near as boozy as I'd assumed with something of this octane. Low carbonation suits this beer very well. Complex yet easy drinking beer = big thumbs up from me."
Abt 12,4.68,"L - Poured from. 12 oz bottle into a Dogfish Head Signature Glass at around 60 degrees. One finger tan frothy head. Dark opaque brown color. Frothy lacing just stays on the glass walls

S - dark fruits like cherry, raisins, etc. and sweet bread malt scents.

T - taste follows scent with sweet bread and dark fruits. Some alcohol comes through at 10% ABV, but it’s more balanced and easy to drink than you would expect. The lightest of a floral hop bitterness in the taste. A little smoky/toasty cola comes through on some tastes as it warms up. Agitating it half way through brings back the sweet flavors. The complexity is great.

F - frothy and great thick mouthfeel. Solid carbonation.

O - This is a great beer. Obviously at 10% ABV this is a one drink and done. But the scent and flavors are excellent. Nice complexity with each taste and smell. I really enjoyed the fact that agitating/swirling partway through brought back the initial flavor and scent profiles. All in all, even at the higher ABV, I drank this one pretty fast as I kept going back for different tastes. Highly recommended as I add this to my annual rotation."
Abt 12,4.33,"Pours a deep ruby, two inch off tan head that fades after two minutes

Rum soaked deserts, malt, bread, raisin on the nose.

The look is strong, aromas fairly decent, but the drink is where the beer is, as described, formidable. Tastes of sugared bread, dried fruits such as raisins and even dried candied melon and cherry. Powerful malt backbone that lasts for days

General alcohol warmth to the sip. Assertive mouthfeel with good carbonation. My beer hid the bitterness quite well, with the sweet malt notes winning every time. Might be due to this bottle being a little older (likely).

As it warms the beer opens up quite a bit. The malty, bready notes are even more prominent if that’s even possible. Once again that rum raisin alcohol warmness presents itself. What is harder to describe is the melding of multiple flavours and tastes that’s hard for me to pick out. I’d love to come back to this beer eventually.

Complex, and even more so as it warms. One of those beers that deserves a revisit every year. I wish I could give this a better review; I chose this beer as its strong as we just receive news Russia has invaded Ukraine. A beer, a moment in time, I don’t think I’ll ever forget and will likely become a home for me and my memories in the future."
Abt 12,4.53,"Beautiful look and scent to this classic. Big tan head, wonderful lacing.

Taste of biscuits and prunes. Quite sweet, although that tapers as it warms. Heavy, with some alcohol warming. Big mouthfeel, malt that lingers for days. Excellent balance for such robust flavors.

Formidable brew"
Abt 12,4.13,"Overall: a triumphant beer that definitely stands out when you want a heavy beer but not a stout. It reminds me of old/stock ales but with less hops and bitterness. Tastes of raisin, rum, bread, and a slight pucker from prunes.

Great right ahead or right after the coldes of months, or when you need something to sip all night and a stout would be too much.

I do think there may be better quads, but as of yet I haven't found one that tops Abt 12.

Look: a dark mahogany brown that looks almost deep purple if not under light. Beautiful lacing with the a thick head that dissipates into a nice creamy top coating of bubbles.

Smell:right up in your nose, this one carries a pervasive aroma though it's not heavy. I catch the smell of Belgian yeast (sharp/sour) and it's lovely.

Taste: don't tackle this one when it's too cold, I enjoyed it after 40+ mins out of the fridge. Bold flavors that are balanced between raisins, prunes, rum, and dark bread. Loved that I can't taste any rock sugar, a common issue with me and high ABV Belgian beers.

Feel: top of the mouth silkiness and a long lasting presence on the top of the mouth/cheeks."
La Trappe Quadrupel (Koningshoeven / Dominus),4.5,"Pours a frothy foamy 1 finger off-white head with great retention, soapy lacing, semi hazy tons of sediment ruby to dark-amber color

Nose is quite nice, big Belgian reddish toasted malt, biscuity, nutty, caramel, toffee, dark Belgian candi sugar, malt-derived fruit esters with some fig, date, a bit of raisin, plum, light spicy floral phenols with perfumey alcohol,

Taste brings lots more typical Belgian quad, big sweet candy malt, biscuity, nutty toffee, caramel, sweet-bread crust, light perfumey alcohol and floral spicy phenols, loads of dark fruits, lots of fig date raisin like, a touch of cherry, a hint of bitterness, candy notes, finishes a touch dry, lingering cherry and other fruits,

Mouth is med to fuller bod, med to higher small bubble frothy carb, light warming alcohol

Overall very nice, standard example of a quad"
La Trappe Quadrupel (Koningshoeven / Dominus),4.21,"A: Pours a deep mahogany color with 2 fingers of head that sticks around for a long while and leaves good lacing

S: Lots of dark fruit and spice from the yeast phenols along with some light caramel and brown bread

T: Follows the nose. Starts off with a wave of fruity spice and yeasty phenolics, followed by some bready malt and a very light nutty undertone. Finishes with the lingering spice and dark fruit

M: Medium-full bodied with low-moderate carbonation

O: A nice quad that makes for a great sipper. Alcohol is hardly noticeable. Good phenolic/yeast profile. Worth checking out"
La Trappe Quadrupel (Koningshoeven / Dominus),4.5,"Appearance: Light brown head, about two fingers. Large bubbles. See through, reddish brown body. Moderate head retention. Sediments show up only after serving its second half, and only slightly affect its transparency.

Aroma: I’ll attempt to name its components in the order that they show up: Breadiness, alcohol, raisins, light red fruits.

Taste: First, thick, lingering and aggressive sweetness, followed by bready, boozy bitterness and alcohol with some light, fermented bananas. Perfect amount of carbonation. The sweetness quickly bounces back, joined by raisins, dark fuits. Invites you to keep drinking. The taste of alcohol is mild in comparison to its volume.

Veredict: Amazing beer. Complex, but its thick sweetness makes it incredibly easy to drink. Easy to find, and can be served cold while retaining most of its flavor profile. Probably not as fruit heavy as the Belgian counterparts, and definitely not as funky either, also lacking in spiciness. Similar to drinking Coke, though infinitely heavier and doesn’t rely on carbonation and sheer sweetness as much. Still delicious and I’ll try to always have one on hand, as it proves to be much easier to find than the rest. 4.5/5."
La Trappe Quadrupel (Koningshoeven / Dominus),4.15,"Pleasant aroma, nice complexity. Balanced sweetness with a hint of banana. Easy drinking for a high abv beer. Recommended."
La Trappe Quadrupel (Koningshoeven / Dominus),4.42,"Bottled February 2021 (I think...why can't they just put a date on the label??); drank 9/21/21 @ the Yarchives.

Cloudy orange/brown appearance.

An even pour yielded a big off-white head; a thick curtain of lace.

Plum, tobacco & candle wax flavors up front; banana & clove bite on the finish.

A phenomenal Quad."
